Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
16384,10.75,5.42,14.88,50,8,2,chain
32768,15.41,7.39,21.29,50,8,2,chain
65536,23.29,8.65,34.78,50,8,2,chain
131072,34.57,15.31,52.41,50,8,2,chain
262144,60.98,35.54,83.34,50,8,2,chain
524288,107.78,64.02,146.46,50,8,2,chain
1048576,221.48,123.03,289.15,50,8,2,chain
1,1.73,0.11,3.34,50,2,3,pipeline
2,1.79,0.11,3.46,50,2,3,pipeline
4,1.72,0.11,3.34,50,2,3,pipeline
8,1.71,0.11,3.31,50,2,3,pipeline
16,1.72,0.11,3.33,50,2,3,pipeline
32,1.88,0.11,3.65,50,2,3,pipeline
64,2.24,0.11,4.36,50,2,3,pipeline
128,1.77,0.12,3.42,50,2,3,pipeline
256,2.4,0.55,4.24,50,2,3,pipeline
512,2.45,0.36,4.53,50,2,3,pipeline
1024,2.94,0.97,4.92,50,2,3,pipeline
2048,3.56,3.18,3.95,50,2,3,pipeline
4096,4.53,4.51,4.55,50,2,3,pipeline
8192,5.4,5.2,5.61,50,2,3,pipeline
16384,7.39,7.21,7.57,50,2,3,pipeline
32768,10.57,9.6,11.54,50,2,3,pipeline
65536,15.31,13.65,16.96,50,2,3,pipeline
131072,21.45,19.78,23.13,50,2,3,pipeline
262144,37.42,33.9,40.93,50,2,3,pipeline
524288,52.98,51.5,54.47,50,2,3,pipeline
1048576,95.6,94.13,97.07,50,2,3,pipeline
1,1.06,0.86,1.32,50,4,3,pipeline
2,0.91,0.79,1.03,50,4,3,pipeline
4,0.95,0.85,1.1,50,4,3,pipeline
8,0.94,0.85,1.06,50,4,3,pipeline
16,0.94,0.83,1.08,50,4,3,pipeline
32,0.97,0.87,1.16,50,4,3,pipeline
64,1.43,0.87,2.04,50,4,3,pipeline
128,2.4,1.29,3.48,50,4,3,pipeline
256,2.11,1.33,2.8,50,4,3,pipeline
512,1.85,0.95,2.54,50,4,3,pipeline
1024,2.61,1.19,3.61,50,4,3,pipeline
2048,2.83,1.23,4.22,50,4,3,pipeline
4096,4.23,1.53,6.72,50,4,3,pipeline
8192,5.34,1.5,7.07,50,4,3,pipeline
16384,12.02,5.23,15.68,50,4,3,pipeline
32768,15.56,5.85,20.77,50,4,3,pipeline
65536,21.05,7.38,28.27,50,4,3,pipeline
131072,32.18,11.47,42.96,50,4,3,pipeline
262144,53.84,21.02,71.27,50,4,3,pipeline
524288,104.67,41.09,140.68,50,4,3,pipeline
