1,4,250000,0.005940
2,4,250000,0.009524
3,4,250000,0.009453
4,4,250000,0.009486
5,4,250000,0.009515
6,4,250000,0.009674
7,4,250000,0.009198
8,4,250000,0.009470
9,4,250000,0.009186
10,4,250000,0.009521
1,8,250000,0.006583
2,8,250000,0.009955
3,8,250000,0.007036
4,8,250000,0.028065
5,8,250000,0.017775
6,8,250000,0.011252
7,8,250000,0.012289
8,8,250000,0.006294
9,8,250000,0.012142
10,8,250000,0.016168
1,16,250000,0.010645
2,16,250000,0.016178
3,16,250000,0.015698
4,16,250000,0.015239
5,16,250000,0.016673
6,16,250000,0.014584
7,16,250000,0.017969
8,16,250000,0.024252
9,16,250000,0.013315
10,16,250000,0.021879
1,32,250000,0.027564
2,32,250000,0.031701
3,32,250000,0.026921
4,32,250000,0.037389
5,32,250000,0.021206
6,32,250000,0.019384
7,32,250000,0.021376
8,32,250000,0.024454
9,32,250000,0.033566
10,32,250000,0.027779
1,64,250000,0.056901
2,64,250000,0.051837
3,64,250000,0.050403
4,64,250000,0.052608
5,64,250000,0.044240
6,64,250000,0.048551
7,64,250000,0.048547
8,64,250000,0.048487
9,64,250000,0.045246
10,64,250000,0.051959
1,128,250000,0.106953
2,128,250000,0.102057
3,128,250000,0.105535
4,128,250000,0.098972
5,128,250000,0.100252
6,128,250000,0.102455
7,128,250000,0.097884
8,128,250000,0.098635
9,128,250000,0.099897
10,128,250000,0.097815
1,256,250000,0.204508
2,256,250000,0.211212
3,256,250000,0.210379
4,256,250000,0.202955
5,256,250000,0.208514
6,256,250000,0.211485
7,256,250000,0.210910
8,256,250000,0.212414
9,256,250000,0.204593
10,256,250000,0.209404
