1,64,256,0.000169
2,64,256,0.008233
3,64,256,0.008466
4,64,256,0.008256
5,64,256,0.000084
6,64,256,0.000213
7,64,256,0.008365
8,64,256,0.000285
9,64,256,0.008327
10,64,256,0.000147
1,64,512,0.014320
2,64,512,0.009968
3,64,512,0.013115
4,64,512,0.012235
5,64,512,0.002908
6,64,512,0.010909
7,64,512,0.009772
8,64,512,0.016230
9,64,512,0.005083
10,64,512,0.015388
1,64,1024,0.013611
2,64,1024,0.011433
3,64,1024,0.016340
4,64,1024,0.008593
5,64,1024,0.011461
6,64,1024,0.010439
7,64,1024,0.003487
8,64,1024,0.010581
9,64,1024,0.005167
10,64,1024,0.013453
1,64,2048,0.006622
2,64,2048,0.007122
3,64,2048,0.006528
4,64,2048,0.009766
5,64,2048,0.010844
6,64,2048,0.010781
7,64,2048,0.015081
8,64,2048,0.010137
9,64,2048,0.007255
10,64,2048,0.009749
1,64,4096,0.010447
2,64,4096,0.011094
3,64,4096,0.011398
4,64,4096,0.010077
5,64,4096,0.004570
6,64,4096,0.015424
7,64,4096,0.011136
8,64,4096,0.011248
9,64,4096,0.014489
10,64,4096,0.014491
1,64,8192,0.008388
2,64,8192,0.015978
3,64,8192,0.008318
4,64,8192,0.007765
5,64,8192,0.006912
6,64,8192,0.011600
7,64,8192,0.015432
8,64,8192,0.010660
9,64,8192,0.005102
10,64,8192,0.016399
1,64,16384,0.015003
2,64,16384,0.011457
3,64,16384,0.015179
4,64,16384,0.006780
5,64,16384,0.007496
6,64,16384,0.010710
7,64,16384,0.006346
8,64,16384,0.006326
9,64,16384,0.010583
10,64,16384,0.013300
1,64,32768,0.012212
2,64,32768,0.011613
3,64,32768,0.008871
4,64,32768,0.011618
5,64,32768,0.008146
6,64,32768,0.015349
7,64,32768,0.012479
8,64,32768,0.015914
9,64,32768,0.006807
10,64,32768,0.011706
1,64,65536,0.025860
2,64,65536,0.017378
3,64,65536,0.013704
4,64,65536,0.010780
5,64,65536,0.024875
6,64,65536,0.019176
7,64,65536,0.017162
8,64,65536,0.008800
9,64,65536,0.016088
10,64,65536,0.011451
1,64,131072,0.031289
2,64,131072,0.020448
3,64,131072,0.027978
4,64,131072,0.014893
5,64,131072,0.017532
6,64,131072,0.014872
7,64,131072,0.030575
8,64,131072,0.019031
9,64,131072,0.032526
10,64,131072,0.031896
1,64,262144,0.033308
2,64,262144,0.044318
3,64,262144,0.030969
4,64,262144,0.037329
5,64,262144,0.033901
6,64,262144,0.044870
7,64,262144,0.036063
8,64,262144,0.031233
9,64,262144,0.032599
10,64,262144,0.044012
1,64,524288,0.056798
2,64,524288,0.072057
3,64,524288,0.069540
4,64,524288,0.055993
5,64,524288,0.062002
6,64,524288,0.066123
7,64,524288,0.057329
8,64,524288,0.084801
9,64,524288,0.060909
10,64,524288,0.055419
1,64,1048576,0.107462
2,64,1048576,0.114071
3,64,1048576,0.106726
4,64,1048576,0.106370
5,64,1048576,0.104686
6,64,1048576,0.134363
7,64,1048576,0.137746
8,64,1048576,0.123816
9,64,1048576,0.129735
10,64,1048576,0.118772
1,64,2097152,0.203990
2,64,2097152,0.206648
3,64,2097152,0.210729
4,64,2097152,0.207621
5,64,2097152,0.214240
6,64,2097152,0.226404
7,64,2097152,0.204435
8,64,2097152,0.205700
9,64,2097152,0.205857
10,64,2097152,0.206818
1,64,4194304,0.412020
2,64,4194304,0.405484
3,64,4194304,0.402958
4,64,4194304,0.402132
5,64,4194304,0.401230
6,64,4194304,0.400198
7,64,4194304,0.397121
8,64,4194304,0.400338
9,64,4194304,0.401768
10,64,4194304,0.409651
1,64,8388608,0.812968
2,64,8388608,0.811540
3,64,8388608,0.815631
4,64,8388608,0.817782
5,64,8388608,0.811167
6,64,8388608,0.817270
7,64,8388608,0.809808
8,64,8388608,0.812314
9,64,8388608,0.820190
10,64,8388608,0.803185
1,64,16777216,1.614693
2,64,16777216,1.618753
3,64,16777216,1.612631
4,64,16777216,1.622294
5,64,16777216,1.616266
6,64,16777216,1.632049
7,64,16777216,1.611257
8,64,16777216,1.610071
9,64,16777216,1.619020
10,64,16777216,1.615594
