Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
128,3.88,1.72,12.18,30000,64,2,binomial
256,5.04,2.48,13.45,30000,64,2,binomial
512,7.99,4.21,17.42,30000,64,2,binomial
1024,12.37,7.78,22.81,30000,64,2,binomial
2048,20.73,15.07,32.02,30000,64,2,binomial
4096,36.94,29.84,49.64,30000,64,2,binomial
8192,81.38,78.58,88.46,30000,64,2,binomial
16384,131.41,126.45,140.23,30000,64,2,binomial
32768,253.75,247.96,265.77,30000,64,2,binomial
65536,498.16,470.71,519.46,30000,64,2,binomial
131072,1013.04,978.86,1063.76,30000,64,2,binomial
262144,2094.51,1967.43,2236.23,30000,64,2,binomial
524288,4171.29,3897.75,4337.5,30000,64,2,binomial
1,5.94,1.06,23.85,30000,128,2,binomial
2,6.42,1.06,25.06,30000,128,2,binomial
4,6.15,1.34,24.44,30000,128,2,binomial
8,6.21,1.48,25.1,30000,128,2,binomial
16,6.31,1.69,25.83,30000,128,2,binomial
32,6.16,1.71,27.83,30000,128,2,binomial
64,6.61,2.28,28.54,30000,128,2,binomial
128,7.57,2.72,29.99,30000,128,2,binomial
256,10.65,3.29,35.0,30000,128,2,binomial
512,15.59,6.72,41.04,30000,128,2,binomial
1024,23.25,14.18,48.77,30000,128,2,binomial
2048,41.14,30.84,67.08,30000,128,2,binomial
4096,96.27,84.81,110.11,30000,128,2,binomial
8192,145.31,135.69,154.98,30000,128,2,binomial
16384,274.46,263.78,292.32,30000,128,2,binomial
32768,540.6,522.26,564.88,30000,128,2,binomial
65536,1069.12,1041.52,1108.07,30000,128,2,binomial
131072,2131.5,2069.37,2201.08,30000,128,2,binomial
262144,4266.55,4097.11,4421.07,30000,128,2,binomial
524288,23114.03,22378.19,24582.73,30000,128,2,binomial
1,1.18,0.88,1.49,30000,256,2,binomial
2,1.67,1.12,2.32,30000,256,2,binomial
4,1.95,1.22,2.68,30000,256,2,binomial
8,2.45,1.46,3.35,30000,256,2,binomial
16,3.0,1.82,4.08,30000,256,2,binomial
32,4.25,2.71,5.83,30000,256,2,binomial
64,6.38,4.15,8.74,30000,256,2,binomial
128,10.13,6.61,13.8,30000,256,2,binomial
256,15.62,11.6,19.72,30000,256,2,binomial
512,26.47,21.32,32.1,30000,256,2,binomial
1024,47.73,40.35,55.25,30000,256,2,binomial
2048,100.33,95.55,103.97,30000,256,2,binomial
4096,149.77,142.34,157.67,30000,256,2,binomial
8192,288.46,280.38,294.53,30000,256,2,binomial
16384,562.65,540.57,592.02,30000,256,2,binomial
32768,1147.25,1113.96,1232.42,30000,256,2,binomial
65536,2239.97,2208.15,2268.79,30000,256,2,binomial
131072,4454.27,4372.67,4532.35,30000,256,2,binomial
262144,23901.87,23343.51,25881.47,30000,256,2,binomial
524288,60481.03,57490.16,66128.94,30000,256,2,binomial
1,1.76,0.13,3.39,30000,2,3,non-blocking linear
2,1.75,0.13,3.38,30000,2,3,non-blocking linear
4,1.76,0.13,3.4,30000,2,3,non-blocking linear
8,1.79,0.13,3.45,30000,2,3,non-blocking linear
16,1.79,0.12,3.45,30000,2,3,non-blocking linear
32,1.85,0.13,3.57,30000,2,3,non-blocking linear
64,1.88,0.13,3.64,30000,2,3,non-blocking linear
128,1.85,0.14,3.56,30000,2,3,non-blocking linear
256,2.2,0.16,4.25,30000,2,3,non-blocking linear
512,2.26,0.18,4.34,30000,2,3,non-blocking linear
1024,2.42,0.23,4.61,30000,2,3,non-blocking linear
2048,3.65,3.23,4.07,30000,2,3,non-blocking linear
4096,4.46,4.29,4.64,30000,2,3,non-blocking linear
8192,5.33,5.24,5.42,30000,2,3,non-blocking linear
16384,6.22,6.09,6.35,30000,2,3,non-blocking linear
32768,9.11,8.86,9.36,30000,2,3,non-blocking linear
65536,13.52,11.98,15.07,30000,2,3,non-blocking linear
131072,20.78,19.24,22.32,30000,2,3,non-blocking linear
262144,34.64,33.11,36.17,30000,2,3,non-blocking linear
524288,64.02,62.48,65.57,30000,2,3,non-blocking linear
1,0.89,0.88,0.91,30000,4,3,non-blocking linear
2,0.9,0.88,0.92,30000,4,3,non-blocking linear
4,0.92,0.89,0.97,30000,4,3,non-blocking linear
8,0.93,0.89,0.96,30000,4,3,non-blocking linear
16,0.9,0.88,0.91,30000,4,3,non-blocking linear
32,0.97,0.89,1.04,30000,4,3,non-blocking linear
64,1.34,0.89,1.79,30000,4,3,non-blocking linear
128,1.4,0.93,1.87,30000,4,3,non-blocking linear
256,1.95,0.94,3.09,30000,4,3,non-blocking linear
512,2.07,0.97,3.31,30000,4,3,non-blocking linear
1024,2.19,1.01,3.53,30000,4,3,non-blocking linear
2048,2.23,1.03,3.42,30000,4,3,non-blocking linear
4096,2.76,1.15,4.38,30000,4,3,non-blocking linear
8192,4.28,1.15,6.59,30000,4,3,non-blocking linear
16384,5.8,4.66,7.42,30000,4,3,non-blocking linear
32768,8.88,5.54,11.53,30000,4,3,non-blocking linear
65536,13.65,7.26,17.65,30000,4,3,non-blocking linear
131072,25.77,13.26,32.53,30000,4,3,non-blocking linear
262144,49.91,29.51,59.46,30000,4,3,non-blocking linear
524288,102.11,70.93,115.77,30000,4,3,non-blocking linear
1,2.43,0.37,4.79,30000,8,3,non-blocking linear
2,2.42,0.36,4.78,30000,8,3,non-blocking linear
4,2.46,0.36,4.84,30000,8,3,non-blocking linear
8,2.47,0.41,4.84,30000,8,3,non-blocking linear
16,2.43,0.35,4.79,30000,8,3,non-blocking linear
32,2.53,0.32,5.09,30000,8,3,non-blocking linear
64,2.7,0.35,5.36,30000,8,3,non-blocking linear
128,2.84,0.38,5.52,30000,8,3,non-blocking linear
256,3.37,0.31,6.77,30000,8,3,non-blocking linear
512,3.48,0.39,7.11,30000,8,3,non-blocking linear
1024,3.95,0.44,7.88,30000,8,3,non-blocking linear
2048,3.76,0.5,7.21,30000,8,3,non-blocking linear
4096,4.13,0.65,7.56,30000,8,3,non-blocking linear
8192,5.29,0.99,9.86,30000,8,3,non-blocking linear
16384,7.97,4.75,12.34,30000,8,3,non-blocking linear
32768,11.12,5.99,19.47,30000,8,3,non-blocking linear
65536,17.94,10.02,32.36,30000,8,3,non-blocking linear
131072,33.32,19.74,57.05,30000,8,3,non-blocking linear
262144,70.54,51.12,107.22,30000,8,3,non-blocking linear
524288,140.3,104.39,205.67,30000,8,3,non-blocking linear
1,3.14,0.3,6.63,30000,16,3,non-blocking linear
2,3.19,0.29,6.75,30000,16,3,non-blocking linear
4,3.18,0.31,6.69,30000,16,3,non-blocking linear
8,3.16,0.3,6.67,30000,16,3,non-blocking linear
16,3.18,0.3,6.7,30000,16,3,non-blocking linear
32,3.38,0.27,7.03,30000,16,3,non-blocking linear
64,3.72,0.26,7.97,30000,16,3,non-blocking linear
128,4.36,0.31,8.44,30000,16,3,non-blocking linear
256,5.07,0.41,10.0,30000,16,3,non-blocking linear
512,5.35,0.45,10.38,30000,16,3,non-blocking linear
1024,5.7,0.38,11.01,30000,16,3,non-blocking linear
2048,6.23,0.44,11.29,30000,16,3,non-blocking linear
4096,7.57,0.67,13.04,30000,16,3,non-blocking linear
8192,11.08,0.99,19.14,30000,16,3,non-blocking linear
16384,10.55,3.98,18.95,30000,16,3,non-blocking linear
32768,16.8,6.87,31.69,30000,16,3,non-blocking linear
65536,31.59,17.35,52.83,30000,16,3,non-blocking linear
131072,64.25,25.38,99.22,30000,16,3,non-blocking linear
262144,146.72,42.87,188.53,30000,16,3,non-blocking linear
524288,477.09,242.8,703.92,30000,16,3,non-blocking linear
1,5.27,0.52,11.66,30000,32,3,non-blocking linear
2,5.06,0.26,11.37,30000,32,3,non-blocking linear
4,5.07,0.28,11.37,30000,32,3,non-blocking linear
8,5.07,0.29,11.4,30000,32,3,non-blocking linear
16,5.1,0.28,11.44,30000,32,3,non-blocking linear
32,5.27,0.24,11.76,30000,32,3,non-blocking linear
64,5.5,0.29,13.08,30000,32,3,non-blocking linear
128,7.67,0.37,16.07,30000,32,3,non-blocking linear
256,8.5,0.46,17.57,30000,32,3,non-blocking linear
512,8.78,0.42,17.55,30000,32,3,non-blocking linear
1024,9.6,0.35,18.71,30000,32,3,non-blocking linear
