Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
262144,462.74,57.7,717.96,20000,64,0,default
524288,954.58,124.12,1422.57,20000,64,0,default
1,6.15,1.03,24.59,20000,128,0,default
2,5.96,1.05,23.53,20000,128,0,default
4,6.31,1.44,25.05,20000,128,0,default
8,6.27,1.48,24.91,20000,128,0,default
16,6.07,1.67,25.12,20000,128,0,default
32,6.32,1.74,27.96,20000,128,0,default
64,6.69,2.26,28.68,20000,128,0,default
128,7.52,2.73,30.07,20000,128,0,default
256,10.54,2.87,34.76,20000,128,0,default
512,32.02,0.51,76.43,20000,128,0,default
1024,36.55,0.58,82.62,20000,128,0,default
2048,48.33,0.72,97.56,20000,128,0,default
4096,65.52,1.05,122.93,20000,128,0,default
8192,103.48,1.52,178.97,20000,128,0,default
16384,62.6,5.42,131.21,20000,128,0,default
32768,95.91,7.63,216.53,20000,128,0,default
65536,166.65,13.06,395.29,20000,128,0,default
131072,354.59,25.89,767.84,20000,128,0,default
262144,847.1,151.38,1546.25,20000,128,0,default
524288,1954.38,502.14,3201.27,20000,128,0,default
1,1.14,0.81,1.51,20000,256,0,default
2,1.73,1.45,2.13,20000,256,0,default
4,1.99,1.64,2.46,20000,256,0,default
8,2.51,1.89,3.16,20000,256,0,default
16,2.99,1.79,4.21,20000,256,0,default
32,4.21,2.74,5.76,20000,256,0,default
64,6.36,4.15,8.6,20000,256,0,default
128,10.21,6.82,13.72,20000,256,0,default
256,15.72,11.57,19.83,20000,256,0,default
512,84.23,0.35,167.05,20000,256,0,default
1024,92.79,0.45,181.23,20000,256,0,default
2048,126.34,0.56,225.78,20000,256,0,default
4096,164.84,0.88,282.23,20000,256,0,default
8192,243.89,1.48,405.33,20000,256,0,default
16384,133.08,5.25,251.75,20000,256,0,default
32768,187.35,7.79,419.52,20000,256,0,default
65536,329.66,16.03,780.17,20000,256,0,default
131072,679.04,23.98,1597.59,20000,256,0,default
262144,2045.89,140.25,3859.01,20000,256,0,default
524288,4916.06,817.62,8282.72,20000,256,0,default
1,1.72,0.1,3.35,20000,2,1,basic linear
2,1.72,0.1,3.35,20000,2,1,basic linear
4,1.73,0.1,3.36,20000,2,1,basic linear
8,1.73,0.1,3.35,20000,2,1,basic linear
16,1.73,0.1,3.36,20000,2,1,basic linear
32,1.82,0.1,3.54,20000,2,1,basic linear
64,2.33,0.1,4.56,20000,2,1,basic linear
128,2.29,0.11,4.46,20000,2,1,basic linear
256,2.57,0.14,5.01,20000,2,1,basic linear
512,2.62,0.17,5.08,20000,2,1,basic linear
1024,2.8,0.22,5.38,20000,2,1,basic linear
2048,3.06,0.19,5.92,20000,2,1,basic linear
4096,3.51,0.24,6.77,20000,2,1,basic linear
8192,4.14,0.42,7.87,20000,2,1,basic linear
16384,4.39,0.98,7.8,20000,2,1,basic linear
32768,6.07,1.93,10.22,20000,2,1,basic linear
65536,8.92,3.81,14.03,20000,2,1,basic linear
