Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
131072,180.71,31.04,422.94,30000,64,0,default
262144,453.5,60.68,718.07,30000,64,0,default
524288,952.39,128.49,1423.72,30000,64,0,default
1,5.91,1.05,23.89,30000,128,0,default
2,6.29,1.07,24.74,30000,128,0,default
4,6.49,1.46,25.02,30000,128,0,default
8,6.17,1.51,25.15,30000,128,0,default
16,6.38,1.72,25.82,30000,128,0,default
32,6.11,1.79,27.69,30000,128,0,default
64,6.6,2.28,28.43,30000,128,0,default
128,7.49,2.63,29.96,30000,128,0,default
256,10.76,3.16,35.14,30000,128,0,default
512,32.07,0.5,76.81,30000,128,0,default
1024,36.07,0.57,82.17,30000,128,0,default
2048,49.01,0.71,98.94,30000,128,0,default
4096,65.39,1.11,122.89,30000,128,0,default
8192,103.26,1.58,178.83,30000,128,0,default
16384,61.9,5.19,130.8,30000,128,0,default
32768,94.69,7.84,218.17,30000,128,0,default
65536,161.98,15.8,397.86,30000,128,0,default
131072,351.53,22.1,764.49,30000,128,0,default
262144,847.21,127.03,1542.86,30000,128,0,default
524288,1947.6,515.93,3196.81,30000,128,0,default
1,1.19,0.88,1.5,30000,256,0,default
2,1.72,1.46,2.15,30000,256,0,default
4,1.97,1.65,2.45,30000,256,0,default
8,2.49,1.9,3.12,30000,256,0,default
16,2.99,1.9,4.18,30000,256,0,default
32,4.2,2.62,5.87,30000,256,0,default
64,6.28,3.97,8.82,30000,256,0,default
128,10.16,6.75,13.84,30000,256,0,default
256,15.47,11.48,19.89,30000,256,0,default
512,84.14,0.35,167.06,30000,256,0,default
1024,93.25,0.46,181.99,30000,256,0,default
2048,126.74,0.55,226.64,30000,256,0,default
4096,164.9,0.87,283.03,30000,256,0,default
8192,244.53,1.43,406.82,30000,256,0,default
16384,127.03,5.53,252.1,30000,256,0,default
32768,179.89,8.33,419.29,30000,256,0,default
65536,325.55,17.63,781.86,30000,256,0,default
131072,624.79,68.84,1534.21,30000,256,0,default
262144,1922.81,112.4,3735.48,30000,256,0,default
524288,4543.73,532.61,7855.32,30000,256,0,default
1,1.75,0.1,3.39,30000,2,1,basic linear
2,1.74,0.1,3.38,30000,2,1,basic linear
4,1.75,0.1,3.39,30000,2,1,basic linear
8,1.77,0.1,3.44,30000,2,1,basic linear
16,1.75,0.1,3.4,30000,2,1,basic linear
32,1.84,0.1,3.58,30000,2,1,basic linear
64,2.26,0.11,4.41,30000,2,1,basic linear
128,2.3,0.12,4.48,30000,2,1,basic linear
256,2.58,0.13,5.03,30000,2,1,basic linear
512,2.64,0.15,5.13,30000,2,1,basic linear
1024,2.79,0.21,5.37,30000,2,1,basic linear
2048,3.08,0.2,5.97,30000,2,1,basic linear
4096,3.53,0.25,6.8,30000,2,1,basic linear
8192,4.16,0.41,7.9,30000,2,1,basic linear
16384,4.37,0.88,7.85,30000,2,1,basic linear
32768,6.09,1.84,10.34,30000,2,1,basic linear
65536,8.95,3.73,14.17,30000,2,1,basic linear
131072,15.29,8.1,22.49,30000,2,1,basic linear
262144,34.51,32.99,36.04,30000,2,1,basic linear
524288,63.69,62.17,65.22,30000,2,1,basic linear
1,0.78,0.49,0.89,30000,4,1,basic linear
2,0.79,0.49,0.89,30000,4,1,basic linear
4,0.79,0.5,0.9,30000,4,1,basic linear
8,0.79,0.5,0.9,30000,4,1,basic linear
16,0.78,0.49,0.89,30000,4,1,basic linear
32,0.86,0.49,1.05,30000,4,1,basic linear
64,1.33,0.88,1.77,30000,4,1,basic linear
128,1.39,0.93,1.86,30000,4,1,basic linear
256,1.85,0.93,3.09,30000,4,1,basic linear
512,1.94,0.97,3.21,30000,4,1,basic linear
1024,2.07,1.0,3.51,30000,4,1,basic linear
2048,2.11,0.68,3.38,30000,4,1,basic linear
4096,2.67,0.9,4.34,30000,4,1,basic linear
8192,2.95,1.2,4.87,30000,4,1,basic linear
16384,4.06,1.74,6.21,30000,4,1,basic linear
32768,7.17,2.91,11.31,30000,4,1,basic linear
65536,12.69,5.31,20.14,30000,4,1,basic linear
131072,23.45,10.14,36.93,30000,4,1,basic linear
262144,65.02,29.01,89.13,30000,4,1,basic linear
524288,135.57,72.61,175.86,30000,4,1,basic linear
1,2.34,0.3,4.74,30000,8,1,basic linear
2,2.31,0.29,4.69,30000,8,1,basic linear
4,2.35,0.34,4.73,30000,8,1,basic linear
8,2.36,0.34,4.78,30000,8,1,basic linear
16,2.31,0.3,4.69,30000,8,1,basic linear
32,2.42,0.29,4.93,30000,8,1,basic linear
64,2.66,0.33,5.27,30000,8,1,basic linear
128,2.8,0.36,5.48,30000,8,1,basic linear
256,3.3,0.3,6.72,30000,8,1,basic linear
512,3.41,0.38,7.03,30000,8,1,basic linear
1024,3.84,0.42,7.73,30000,8,1,basic linear
2048,3.71,0.48,7.16,30000,8,1,basic linear
4096,4.1,0.64,7.52,30000,8,1,basic linear
8192,5.24,0.93,9.77,30000,8,1,basic linear
16384,8.03,1.63,14.11,30000,8,1,basic linear
32768,12.96,2.8,23.39,30000,8,1,basic linear
65536,22.46,5.61,40.64,30000,8,1,basic linear
131072,41.46,10.63,72.75,30000,8,1,basic linear
262144,130.65,34.8,209.9,30000,8,1,basic linear
524288,250.59,74.35,388.06,30000,8,1,basic linear
1,3.2,0.33,6.72,30000,16,1,basic linear
2,3.3,0.42,6.92,30000,16,1,basic linear
4,3.21,0.32,6.73,30000,16,1,basic linear
8,3.22,0.31,6.76,30000,16,1,basic linear
16,3.21,0.3,6.76,30000,16,1,basic linear
32,3.45,0.27,7.19,30000,16,1,basic linear
64,3.7,0.28,7.68,30000,16,1,basic linear
128,4.36,0.29,8.47,30000,16,1,basic linear
256,4.97,0.31,9.85,30000,16,1,basic linear
512,5.33,0.32,10.42,30000,16,1,basic linear
1024,5.71,0.27,11.07,30000,16,1,basic linear
2048,6.13,0.36,11.1,30000,16,1,basic linear
4096,7.7,0.67,13.25,30000,16,1,basic linear
8192,11.14,1.02,19.27,30000,16,1,basic linear
16384,18.66,1.65,31.7,30000,16,1,basic linear
32768,33.15,3.43,57.55,30000,16,1,basic linear
65536,62.03,6.11,105.21,30000,16,1,basic linear
131072,120.83,11.24,202.27,30000,16,1,basic linear
262144,260.44,33.36,464.33,30000,16,1,basic linear
524288,484.2,71.94,827.95,30000,16,1,basic linear
1,5.24,0.52,11.68,30000,32,1,basic linear
2,5.02,0.27,11.35,30000,32,1,basic linear
4,5.02,0.27,11.34,30000,32,1,basic linear
8,5.03,0.3,11.36,30000,32,1,basic linear
16,5.05,0.29,11.37,30000,32,1,basic linear
32,5.24,0.26,11.69,30000,32,1,basic linear
64,5.6,0.29,13.08,30000,32,1,basic linear
128,7.77,0.5,16.17,30000,32,1,basic linear
256,8.6,0.57,17.66,30000,32,1,basic linear
512,8.89,0.45,18.16,30000,32,1,basic linear
1024,9.94,0.47,19.2,30000,32,1,basic linear
2048,11.33,0.42,20.28,30000,32,1,basic linear
4096,14.64,0.66,24.3,30000,32,1,basic linear
8192,23.85,1.07,39.73,30000,32,1,basic linear
16384,40.44,2.04,67.8,30000,32,1,basic linear
32768,74.41,3.61,124.68,30000,32,1,basic linear
65536,142.09,6.49,235.82,30000,32,1,basic linear
131072,278.78,13.31,462.14,30000,32,1,basic linear
262144,548.52,34.93,1007.95,30000,32,1,basic linear
524288,978.4,76.08,1743.97,30000,32,1,basic linear
1,5.59,0.26,20.62,30000,64,1,basic linear
2,5.62,0.23,20.65,30000,64,1,basic linear
4,5.6,0.25,20.61,30000,64,1,basic linear
8,5.61,0.23,20.64,30000,64,1,basic linear
16,5.61,0.23,20.63,30000,64,1,basic linear
32,5.99,0.28,21.19,30000,64,1,basic linear
64,6.0,0.26,21.27,30000,64,1,basic linear
128,12.19,0.39,29.75,30000,64,1,basic linear
256,13.18,0.36,31.73,30000,64,1,basic linear
512,13.74,0.35,33.1,30000,64,1,basic linear
1024,14.99,0.4,34.85,30000,64,1,basic linear
2048,20.31,0.41,41.27,30000,64,1,basic linear
