Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
131072,95.53,63.05,128.14,20000,64,0,default
262144,240.66,133.14,296.19,20000,64,0,default
524288,567.38,291.2,705.72,20000,64,0,default
1,8.51,0.68,35.3,20000,128,0,default
2,9.17,0.25,33.54,20000,128,0,default
4,9.18,0.25,33.58,20000,128,0,default
8,8.91,0.25,33.1,20000,128,0,default
16,9.39,0.25,33.79,20000,128,0,default
32,9.4,0.24,33.9,20000,128,0,default
64,11.57,0.25,37.92,20000,128,0,default
128,11.77,0.37,38.31,20000,128,0,default
256,8.44,0.44,35.01,20000,128,0,default
512,10.12,0.46,39.01,20000,128,0,default
1024,13.15,0.45,43.6,20000,128,0,default
2048,16.36,0.54,58.19,20000,128,0,default
4096,30.6,0.61,92.23,20000,128,0,default
8192,58.97,0.82,172.61,20000,128,0,default
16384,62.14,4.97,129.39,20000,128,0,default
32768,292.74,13.86,698.11,20000,128,0,default
65536,83.71,50.58,128.03,20000,128,0,default
131072,163.82,88.99,230.0,20000,128,0,default
262144,348.59,193.06,453.46,20000,128,0,default
524288,724.89,419.47,895.9,20000,128,0,default
1,1.04,0.44,2.21,20000,256,0,default
2,1.07,0.45,2.29,20000,256,0,default
4,1.07,0.49,2.21,20000,256,0,default
8,1.05,0.42,2.27,20000,256,0,default
16,1.06,0.44,2.29,20000,256,0,default
32,1.23,0.63,2.26,20000,256,0,default
64,1.22,0.55,2.29,20000,256,0,default
128,2.16,1.17,3.45,20000,256,0,default
256,2.86,1.46,4.2,20000,256,0,default
512,3.6,2.07,4.92,20000,256,0,default
1024,4.36,2.46,5.67,20000,256,0,default
2048,6.15,3.73,8.12,20000,256,0,default
4096,9.44,6.03,12.13,20000,256,0,default
8192,16.2,10.4,20.4,20000,256,0,default
16384,125.62,1.05,259.48,20000,256,0,default
32768,47.37,33.49,64.06,20000,256,0,default
65536,89.89,48.14,124.55,20000,256,0,default
131072,186.14,91.14,256.35,20000,256,0,default
262144,408.41,209.13,522.69,20000,256,0,default
524288,913.11,494.99,1204.24,20000,256,0,default
1,1.75,0.11,3.39,20000,2,2,chain
2,1.74,0.11,3.37,20000,2,2,chain
4,1.75,0.11,3.4,20000,2,2,chain
8,1.75,0.11,3.39,20000,2,2,chain
16,1.76,0.11,3.41,20000,2,2,chain
32,1.89,0.11,3.67,20000,2,2,chain
64,2.27,0.11,4.42,20000,2,2,chain
128,1.86,0.12,3.6,20000,2,2,chain
256,2.41,0.55,4.27,20000,2,2,chain
512,2.42,0.36,4.47,20000,2,2,chain
1024,2.97,0.96,4.98,20000,2,2,chain
2048,3.6,3.17,4.03,20000,2,2,chain
4096,4.43,4.26,4.59,20000,2,2,chain
8192,5.05,4.98,5.12,20000,2,2,chain
16384,5.98,5.89,6.07,20000,2,2,chain
32768,8.19,7.94,8.43,20000,2,2,chain
65536,12.13,10.62,13.63,20000,2,2,chain
131072,17.81,16.34,19.29,20000,2,2,chain
262144,28.08,26.6,29.56,20000,2,2,chain
524288,49.5,47.99,51.0,20000,2,2,chain
1,1.01,0.9,1.32,20000,4,2,chain
2,1.01,0.89,1.32,20000,4,2,chain
4,1.02,0.91,1.32,20000,4,2,chain
8,1.02,0.89,1.38,20000,4,2,chain
16,1.02,0.91,1.32,20000,4,2,chain
32,1.07,0.91,1.31,20000,4,2,chain
64,1.45,0.92,1.8,20000,4,2,chain
128,1.16,0.94,1.37,20000,4,2,chain
256,1.71,0.95,2.41,20000,4,2,chain
512,1.89,0.97,2.68,20000,4,2,chain
1024,2.21,1.01,3.17,20000,4,2,chain
2048,1.94,1.04,2.65,20000,4,2,chain
4096,2.5,1.16,3.67,20000,4,2,chain
8192,3.78,1.12,6.1,20000,4,2,chain
16384,5.63,4.44,7.45,20000,4,2,chain
32768,8.11,4.86,10.93,20000,4,2,chain
65536,12.26,5.96,16.55,20000,4,2,chain
131072,22.06,9.81,28.67,20000,4,2,chain
262144,44.04,24.53,53.71,20000,4,2,chain
524288,86.16,56.4,99.71,20000,4,2,chain
1,2.06,0.29,3.95,20000,8,2,chain
2,2.05,0.29,3.95,20000,8,2,chain
4,2.12,0.36,4.02,20000,8,2,chain
8,2.07,0.3,3.97,20000,8,2,chain
16,2.06,0.29,3.95,20000,8,2,chain
32,2.24,0.33,4.32,20000,8,2,chain
64,2.54,0.24,5.06,20000,8,2,chain
128,2.45,0.41,4.57,20000,8,2,chain
256,2.93,0.47,6.0,20000,8,2,chain
512,3.09,0.51,6.18,20000,8,2,chain
1024,3.42,0.5,6.62,20000,8,2,chain
2048,3.43,0.57,6.26,20000,8,2,chain
4096,3.85,0.83,7.0,20000,8,2,chain
8192,4.69,1.31,8.41,20000,8,2,chain
16384,8.91,4.38,12.62,20000,8,2,chain
32768,12.36,5.53,16.13,20000,8,2,chain
65536,17.72,7.5,24.67,20000,8,2,chain
131072,30.96,13.76,42.87,20000,8,2,chain
262144,57.09,31.47,78.38,20000,8,2,chain
524288,110.4,62.75,148.54,20000,8,2,chain
1,2.71,0.56,4.86,20000,16,2,chain
2,2.75,0.59,4.94,20000,16,2,chain
4,2.76,0.56,4.93,20000,16,2,chain
8,2.79,0.55,5.14,20000,16,2,chain
16,2.72,0.55,4.86,20000,16,2,chain
32,2.82,0.57,5.15,20000,16,2,chain
64,2.88,0.55,5.24,20000,16,2,chain
128,3.29,0.67,6.0,20000,16,2,chain
256,3.92,0.69,7.12,20000,16,2,chain
512,4.12,0.78,7.45,20000,16,2,chain
1024,4.49,0.81,7.99,20000,16,2,chain
2048,4.63,0.74,8.77,20000,16,2,chain
4096,5.74,1.0,10.65,20000,16,2,chain
8192,7.52,1.33,13.51,20000,16,2,chain
16384,14.58,5.93,22.61,20000,16,2,chain
32768,21.14,9.13,31.88,20000,16,2,chain
65536,32.83,13.64,50.0,20000,16,2,chain
131072,57.58,25.19,82.54,20000,16,2,chain
262144,116.34,53.37,171.77,20000,16,2,chain
524288,236.4,106.64,339.17,20000,16,2,chain
1,3.53,0.63,6.15,20000,32,2,chain
2,3.92,0.64,6.73,20000,32,2,chain
4,3.52,0.63,6.14,20000,32,2,chain
8,3.52,0.64,6.13,20000,32,2,chain
16,3.51,0.64,6.12,20000,32,2,chain
32,3.71,0.59,6.81,20000,32,2,chain
64,3.6,0.53,7.15,20000,32,2,chain
128,4.11,0.65,7.35,20000,32,2,chain
256,4.88,0.7,8.85,20000,32,2,chain
512,5.45,0.7,11.44,20000,32,2,chain
1024,5.61,0.77,10.16,20000,32,2,chain
2048,6.02,0.75,11.25,20000,32,2,chain
4096,7.33,0.89,13.87,20000,32,2,chain
8192,10.03,1.15,18.58,20000,32,2,chain
16384,23.85,5.48,39.73,20000,32,2,chain
32768,35.17,7.58,57.53,20000,32,2,chain
65536,57.58,12.76,92.62,20000,32,2,chain
131072,106.02,26.76,169.37,20000,32,2,chain
262144,216.51,61.16,343.66,20000,32,2,chain
524288,442.47,115.63,702.31,20000,32,2,chain
1,3.72,0.55,12.98,20000,64,2,chain
2,3.19,0.63,11.59,20000,64,2,chain
4,3.18,0.53,11.46,20000,64,2,chain
8,3.11,0.58,11.48,20000,64,2,chain
16,3.08,0.54,11.41,20000,64,2,chain
32,3.32,0.58,11.85,20000,64,2,chain
64,3.29,0.56,11.91,20000,64,2,chain
128,4.06,0.61,12.87,20000,64,2,chain
256,4.33,0.59,13.69,20000,64,2,chain
512,4.84,0.66,14.73,20000,64,2,chain
1024,5.2,0.68,15.84,20000,64,2,chain
2048,6.48,0.84,16.7,20000,64,2,chain
4096,8.79,1.09,20.66,20000,64,2,chain
8192,13.16,1.22,26.7,20000,64,2,chain
16384,39.92,5.9,73.18,20000,64,2,chain
32768,59.83,8.33,108.06,20000,64,2,chain
65536,99.45,15.52,177.88,20000,64,2,chain
131072,184.97,32.61,323.31,20000,64,2,chain
262144,389.5,87.89,696.29,20000,64,2,chain
524288,758.24,138.74,1345.3,20000,64,2,chain
1,9.0,0.86,29.73,20000,128,2,chain
2,8.78,0.89,26.85,20000,128,2,chain
4,8.85,0.75,30.55,20000,128,2,chain
8,8.81,0.88,26.61,20000,128,2,chain
16,8.22,0.66,29.03,20000,128,2,chain
32,9.38,0.92,28.3,20000,128,2,chain
64,8.59,0.61,30.52,20000,128,2,chain
128,10.31,0.96,29.44,20000,128,2,chain
256,10.19,0.99,35.2,20000,128,2,chain
512,11.66,1.0,36.68,20000,128,2,chain
1024,11.38,1.14,37.37,20000,128,2,chain
2048,14.32,1.12,40.59,20000,128,2,chain
4096,17.7,1.39,47.4,20000,128,2,chain
8192,24.75,1.86,58.95,20000,128,2,chain
16384,79.7,7.56,160.12,20000,128,2,chain
32768,120.36,9.62,236.35,20000,128,2,chain
65536,194.91,15.61,380.7,20000,128,2,chain
131072,364.86,41.2,708.82,20000,128,2,chain
262144,750.87,99.26,1439.6,20000,128,2,chain
524288,1460.09,182.04,2756.41,20000,128,2,chain
1,7.11,0.17,15.52,20000,256,2,chain
2,7.04,0.19,15.52,20000,256,2,chain
4,7.18,0.17,16.09,20000,256,2,chain
8,7.32,0.18,15.85,20000,256,2,chain
16,6.95,0.17,15.27,20000,256,2,chain
32,7.86,0.19,16.93,20000,256,2,chain
64,7.59,0.18,16.44,20000,256,2,chain
128,10.96,0.32,22.96,20000,256,2,chain
256,11.35,0.37,23.35,20000,256,2,chain
512,13.04,0.38,27.0,20000,256,2,chain
1024,14.93,0.42,30.95,20000,256,2,chain
2048,19.62,0.56,40.66,20000,256,2,chain
4096,27.19,0.72,55.03,20000,256,2,chain
8192,42.21,0.99,84.84,20000,256,2,chain
16384,143.11,8.71,284.72,20000,256,2,chain
32768,217.0,14.78,429.86,20000,256,2,chain
65536,367.0,25.2,735.13,20000,256,2,chain
131072,682.3,48.4,1368.25,20000,256,2,chain
262144,1369.28,107.51,2698.08,20000,256,2,chain
524288,2761.88,247.89,5406.56,20000,256,2,chain
1,1.76,0.11,3.41,20000,2,3,pipeline
2,1.75,0.11,3.39,20000,2,3,pipeline
4,1.75,0.11,3.4,20000,2,3,pipeline
8,1.75,0.11,3.39,20000,2,3,pipeline
16,1.78,0.12,3.44,20000,2,3,pipeline
32,1.89,0.11,3.67,20000,2,3,pipeline
64,2.27,0.11,4.42,20000,2,3,pipeline
128,1.87,0.12,3.62,20000,2,3,pipeline
256,2.42,0.56,4.28,20000,2,3,pipeline
512,2.43,0.36,4.49,20000,2,3,pipeline
1024,2.99,0.97,5.0,20000,2,3,pipeline
2048,3.62,3.21,4.03,20000,2,3,pipeline
4096,4.44,4.28,4.59,20000,2,3,pipeline
8192,5.24,5.15,5.34,20000,2,3,pipeline
16384,5.94,5.86,6.03,20000,2,3,pipeline
32768,8.12,7.83,8.41,20000,2,3,pipeline
65536,12.27,10.77,13.77,20000,2,3,pipeline
131072,17.44,15.94,18.94,20000,2,3,pipeline
262144,28.34,26.85,29.82,20000,2,3,pipeline
524288,49.35,47.85,50.86,20000,2,3,pipeline
1,0.9,0.74,1.05,20000,4,3,pipeline
2,0.89,0.73,1.03,20000,4,3,pipeline
4,0.9,0.75,1.04,20000,4,3,pipeline
8,0.98,0.86,1.16,20000,4,3,pipeline
16,0.91,0.75,1.05,20000,4,3,pipeline
32,1.01,0.86,1.26,20000,4,3,pipeline
64,1.35,0.87,1.93,20000,4,3,pipeline
128,1.07,0.87,1.35,20000,4,3,pipeline
256,1.42,0.87,1.91,20000,4,3,pipeline
512,1.58,0.87,2.13,20000,4,3,pipeline
1024,1.92,0.87,2.66,20000,4,3,pipeline
2048,1.92,0.89,2.94,20000,4,3,pipeline
4096,2.5,0.96,3.97,20000,4,3,pipeline
8192,4.46,1.09,6.53,20000,4,3,pipeline
16384,11.32,4.96,14.59,20000,4,3,pipeline
32768,12.5,4.93,16.31,20000,4,3,pipeline
65536,17.05,6.38,22.61,20000,4,3,pipeline
131072,27.9,10.8,37.21,20000,4,3,pipeline
262144,60.47,23.47,82.5,20000,4,3,pipeline
524288,117.27,50.57,158.41,20000,4,3,pipeline
1,2.47,0.11,4.89,20000,8,3,pipeline
2,2.43,0.11,4.78,20000,8,3,pipeline
4,2.43,0.11,4.81,20000,8,3,pipeline
8,2.43,0.11,4.79,20000,8,3,pipeline
16,2.67,0.11,5.28,20000,8,3,pipeline
32,2.53,0.12,5.09,20000,8,3,pipeline
64,2.89,0.12,5.66,20000,8,3,pipeline
128,2.78,0.17,5.47,20000,8,3,pipeline
256,3.13,0.17,6.02,20000,8,3,pipeline
512,3.31,0.18,6.39,20000,8,3,pipeline
1024,3.64,0.18,6.85,20000,8,3,pipeline
2048,3.86,0.22,7.41,20000,8,3,pipeline
